(('168', '265', '3', '265', '168', '265', '3'), 562)
(('265', '3', '265', '168', '265', '3', '265'), 553)
(('4', '4', '4', '4', '4', '4', '4'), 442)
(('3', '265', '168', '265', '3', '265', '168'), 422)
(('265', '168', '265', '3', '265', '168', '265'), 397)
(('168', '265', '43', '3', '265', '43', '168'), 315)
(('13', '4', '78', '13', '13', '78', '13'), 280)
(('240', '240', '13', '4', '78', '13', '13'), 269)
(('168', '265', '265', '265', '265', '168', '265'), 262)
(('265', '265', '265', '265', '168', '265', '265'), 256)
(('3', '3', '3', '3', '3', '3', '3'), 251)
(('265', '168', '265', '265', '265', '265', '168'), 250)
(('240', '13', '4', '78', '13', '13', '78'), 245)
(('265', '265', '168', '265', '265', '265', '265'), 244)
(('265', '43', '3', '265', '43', '168', '265'), 231)
(('265', '265', '265', '168', '265', '265', '265'), 219)
(('43', '168', '265', '43', '3', '265', '43'), 206)
(('168', '265', '3', '265', '168', '168', '265'), 199)
(('265', '43', '168', '265', '43', '3', '265'), 197)
(('168', '168', '265', '3', '265', '168', '265'), 192)
(('265', '168', '265', '3', '265', '168', '168'), 192)
(('43', '3', '265', '43', '168', '265', '43'), 192)
(('3', '265', '43', '168', '265', '43', '3'), 180)
(('4', '78', '13', '13', '78', '13', '265'), 179)
(('265', '3', '265', '168', '168', '265', '3'), 175)
(('3', '265', '168', '168', '265', '3', '265'), 168)
(('78', '13', '13', '78', '13', '265', '265'), 167)
(('265', '168', '168', '265', '3', '265', '168'), 165)
(('168', '168', '265', '265', '265', '265', '168'), 151)
(('168', '265', '265', '265', '265', '168', '168'), 141)
(('174', '174', '174', '174', '174', '174', '174'), 136)
(('265', '168', '265', '43', '3', '265', '43'), 133)
(('168', '168', '265', '43', '3', '265', '43'), 125)
(('168', '265', '43', '3', '265', '43', '265'), 115)
(('13', '13', '78', '13', '265', '265', '240'), 103)
(('265', '265', '168', '265', '3', '265', '168'), 102)
(('125', '125', '125', '125', '125', '125', '125'), 99)
(('168', '265', '3', '265', '168', '168', '168'), 99)
(('265', '168', '168', '265', '265', '265', '265'), 98)
(('168', '265', '168', '265', '3', '265', '168'), 96)
(('168', '265', '3', '265', '265', '168', '265'), 95)
(('168', '265', '43', '3', '265', '43', '3'), 94)
(('142', '78', '102', '78', '78', '142', '78'), 93)
(('265', '265', '265', '265', '168', '168', '265'), 93)
(('265', '265', '265', '265', '168', '168', '168'), 89)
(('265', '265', '168', '168', '265', '265', '265'), 88)
(('192', '6', '33', '5', '3', '197', '192'), 87)
(('168', '168', '168', '265', '3', '265', '168'), 87)
(('3', '168', '265', '43', '3', '265', '43'), 86)
(('3', '168', '265', '3', '265', '168', '265'), 86)
(('168', '168', '168', '265', '265', '265', '265'), 85)
(('4', '78', '13', '13', '78', '13', '13'), 85)
(('265', '3', '168', '265', '3', '265', '168'), 84)
