(('168', '168', '168'), 1283)
(('168', '265', '168'), 975)
(('265', '168', '168'), 911)
(('168', '168', '265'), 903)
(('265', '168', '265'), 880)
(('265', '265', '265'), 844)
(('265', '265', '168'), 842)
(('168', '265', '265'), 807)
(('3', '3', '3'), 777)
(('168', '3', '168'), 542)
(('3', '265', '265'), 478)
(('265', '3', '265'), 454)
(('265', '168', '3'), 448)
(('168', '168', '3'), 443)
(('195', '195', '195'), 440)
(('3', '168', '168'), 437)
(('3', '168', '265'), 424)
(('265', '265', '3'), 416)
(('168', '265', '3'), 414)
(('168', '3', '265'), 412)
(('3', '265', '168'), 405)
(('265', '3', '168'), 380)
(('3', '168', '3'), 335)
(('19', '3', '3'), 309)
(('3', '3', '265'), 309)
(('3', '3', '19'), 308)
(('3', '265', '3'), 295)
(('3', '19', '3'), 292)
(('265', '3', '3'), 285)
(('168', '3', '3'), 283)
(('3', '3', '168'), 268)
(('3', '19', '19'), 220)
(('19', '19', '3'), 216)
(('19', '3', '19'), 202)
(('174', '174', '174'), 196)
(('19', '19', '19'), 179)
(('78', '78', '78'), 123)
(('142', '142', '142'), 112)
(('142', '265', '142'), 83)
(('142', '142', '3'), 70)
(('265', '142', '142'), 66)
(('168', '265', '43'), 64)
(('175', '175', '175'), 62)
(('43', '168', '265'), 61)
(('142', '146', '142'), 59)
(('43', '3', '265'), 57)
(('142', '142', '265'), 57)
(('265', '43', '265'), 55)
(('192', '192', '6'), 53)
(('197', '192', '192'), 53)
(('265', '265', '43'), 52)
(('146', '142', '142'), 52)
(('125', '125', '125'), 52)
(('142', '3', '142'), 51)
(('3', '265', '43'), 51)
(('3', '197', '192'), 50)
(('265', '43', '3'), 50)
(('5', '3', '197'), 50)
(('33', '5', '3'), 49)
(('192', '6', '33'), 49)
(('142', '3', '265'), 49)
(('6', '33', '5'), 49)
(('265', '43', '168'), 48)
(('43', '265', '168'), 48)
(('3', '142', '142'), 48)
(('175', '142', '142'), 47)
(('142', '142', '146'), 46)
(('265', '168', '43'), 45)
(('146', '168', '168'), 44)
(('3', '142', '3'), 44)
(('142', '3', '3'), 44)
(('43', '265', '265'), 41)
(('142', '142', '175'), 41)
(('168', '43', '168'), 40)
(('168', '168', '43'), 39)
(('168', '43', '265'), 39)
(('142', '175', '142'), 38)
(('265', '142', '265'), 37)
(('168', '146', '168'), 37)
(('43', '3', '168'), 37)
(('168', '43', '3'), 35)
(('168', '168', '146'), 35)
(('3', '43', '168'), 33)
(('3', '265', '142'), 32)
(('175', '175', '142'), 32)
(('265', '142', '3'), 32)
(('43', '168', '3'), 31)
(('168', '168', '102'), 31)
(('102', '168', '168'), 31)
(('43', '168', '168'), 31)
(('265', '3', '142'), 31)
(('3', '3', '142'), 30)
(('102', '265', '168'), 30)
(('265', '265', '142'), 29)
(('168', '265', '102'), 29)
(('43', '265', '3'), 29)
(('265', '102', '168'), 29)
(('3', '168', '43'), 29)
