(('195', '195', '195', '195', '195'), 399)
(('168', '168', '168', '168', '168'), 333)
(('3', '3', '3', '3', '3'), 247)
(('265', '168', '168', '168', '168'), 221)
(('168', '168', '168', '168', '265'), 212)
(('168', '168', '168', '265', '168'), 202)
(('168', '265', '168', '168', '168'), 196)
(('265', '265', '265', '265', '265'), 179)
(('168', '265', '168', '265', '168'), 172)
(('168', '168', '265', '168', '168'), 170)
(('168', '168', '265', '265', '168'), 165)
(('174', '174', '174', '174', '174'), 164)
(('265', '265', '168', '168', '168'), 158)
(('168', '265', '265', '168', '168'), 153)
(('265', '168', '265', '168', '168'), 153)
(('168', '168', '168', '265', '265'), 150)
(('168', '168', '265', '168', '265'), 147)
(('265', '168', '168', '168', '265'), 145)
(('265', '168', '265', '168', '265'), 141)
(('168', '265', '168', '168', '265'), 130)
(('265', '265', '265', '168', '265'), 127)
(('168', '265', '168', '265', '265'), 126)
(('265', '265', '168', '265', '265'), 123)
(('265', '168', '265', '265', '168'), 122)
(('168', '265', '265', '168', '265'), 120)
(('265', '265', '168', '265', '168'), 119)
(('3', '3', '19', '3', '3'), 118)
(('265', '168', '168', '265', '168'), 116)
(('265', '265', '265', '265', '168'), 111)
(('265', '168', '265', '265', '265'), 107)
(('265', '265', '265', '168', '168'), 105)
(('168', '265', '265', '265', '168'), 104)
(('3', '19', '3', '3', '3'), 103)
(('265', '265', '168', '168', '265'), 103)
(('19', '3', '3', '3', '3'), 102)
(('3', '3', '3', '3', '19'), 102)
(('3', '3', '3', '19', '3'), 102)
(('265', '168', '168', '265', '265'), 101)
(('168', '265', '265', '265', '265'), 98)
(('168', '168', '265', '265', '265'), 92)
(('3', '19', '3', '3', '19'), 87)
(('168', '168', '168', '3', '168'), 82)
(('168', '265', '168', '3', '168'), 79)
(('19', '3', '3', '19', '3'), 79)
(('3', '3', '19', '19', '3'), 74)
(('265', '3', '265', '265', '168'), 73)
(('168', '168', '3', '168', '168'), 73)
(('19', '3', '3', '3', '19'), 72)
(('19', '3', '19', '3', '3'), 72)
(('168', '3', '168', '168', '168'), 72)
(('3', '3', '3', '19', '19'), 72)
(('265', '168', '3', '168', '168'), 71)
(('265', '265', '168', '3', '168'), 70)
(('168', '168', '3', '168', '265'), 70)
(('3', '168', '265', '168', '265'), 69)
(('3', '19', '19', '3', '3'), 69)
(('19', '19', '3', '3', '3'), 69)
(('265', '265', '265', '3', '265'), 68)
(('168', '265', '3', '265', '265'), 68)
(('3', '265', '265', '265', '265'), 68)
(('168', '265', '265', '168', '3'), 67)
(('265', '265', '168', '3', '265'), 67)
(('265', '168', '265', '168', '3'), 67)
(('168', '3', '168', '168', '265'), 67)
(('3', '265', '168', '265', '168'), 66)
(('265', '168', '265', '3', '265'), 66)
(('168', '3', '168', '265', '168'), 66)
(('265', '265', '3', '265', '265'), 65)
(('168', '3', '168', '265', '265'), 64)
(('265', '3', '265', '265', '265'), 64)
(('78', '78', '78', '78', '78'), 64)
(('3', '3', '19', '3', '19'), 63)
(('265', '168', '3', '265', '265'), 63)
(('265', '168', '168', '265', '3'), 62)
(('168', '3', '265', '265', '168'), 62)
(('168', '265', '265', '3', '265'), 62)
(('168', '265', '3', '168', '265'), 62)
(('168', '3', '265', '265', '265'), 61)
(('265', '168', '3', '168', '3'), 61)
(('168', '168', '265', '3', '265'), 61)
(('3', '265', '265', '168', '265'), 60)
(('265', '265', '168', '265', '3'), 60)
(('265', '3', '168', '265', '168'), 60)
(('168', '168', '168', '168', '3'), 59)
(('265', '168', '265', '265', '3'), 59)
(('168', '3', '265', '168', '265'), 59)
(('168', '3', '168', '3', '168'), 59)
(('19', '19', '3', '19', '3'), 59)
(('168', '265', '3', '265', '168'), 59)
(('3', '168', '265', '265', '265'), 58)
(('3', '265', '265', '265', '168'), 58)
(('265', '3', '265', '168', '265'), 58)
(('168', '265', '168', '3', '265'), 58)
(('265', '265', '168', '168', '3'), 58)
(('3', '265', '168', '168', '168'), 57)
(('265', '168', '3', '168', '265'), 57)
(('265', '265', '3', '265', '168'), 57)
(('168', '265', '168', '265', '3'), 56)
(('3', '265', '265', '168', '168'), 56)
(('265', '168', '265', '3', '168'), 56)
(('3', '19', '19', '19', '3'), 56)
(('3', '168', '168', '265', '265'), 55)
(('265', '265', '265', '265', '3'), 55)
(('19', '3', '3', '19', '19'), 55)
(('168', '168', '3', '265', '168'), 55)
(('3', '168', '168', '3', '168'), 54)
(('3', '168', '265', '168', '168'), 54)
(('168', '168', '265', '168', '3'), 53)
(('3', '265', '265', '168', '3'), 53)
(('168', '168', '168', '265', '3'), 53)
(('3', '168', '168', '265', '168'), 53)
(('3', '168', '168', '168', '168'), 53)
(('3', '19', '3', '19', '3'), 52)
(('265', '3', '265', '168', '168'), 52)
(('3', '3', '19', '19', '19'), 52)
(('265', '3', '168', '265', '265'), 52)
(('3', '19', '19', '3', '19'), 52)
(('265', '168', '168', '3', '168'), 52)
(('265', '168', '168', '3', '265'), 52)
(('265', '168', '168', '168', '3'), 51)
(('168', '265', '265', '265', '3'), 51)
(('168', '3', '168', '168', '3'), 50)
(('168', '168', '265', '3', '168'), 50)
