(('3', '3', '3'), 24381)
(('4', '4', '4'), 19218)
(('195', '195', '195'), 6577)
(('240', '240', '240'), 5822)
(('180', '180', '180'), 5311)
(('221', '221', '221'), 4996)
(('78', '78', '78'), 4228)
(('6', '6', '6'), 3884)
(('174', '174', '174'), 3604)
(('4', '3', '4'), 3180)
(('5', '197', '192'), 3027)
(('3', '197', '192'), 2762)
(('5', '3', '197'), 2754)
(('192', '192', '6'), 2699)
(('197', '192', '192'), 2673)
(('6', '33', '5'), 2665)
(('192', '6', '33'), 2665)
(('33', '5', '3'), 2657)
(('3', '6', '91'), 2596)
(('3', '3', '6'), 2531)
(('5', '5', '5'), 2530)
(('3', '4', '4'), 2520)
(('125', '125', '125'), 2520)
(('197', '192', '3'), 2458)
(('4', '4', '3'), 2247)
(('265', '240', '240'), 2001)
(('175', '175', '175'), 1748)
(('3', '4', '3'), 1727)
(('78', '265', '240'), 1671)
(('5', '195', '5'), 1671)
(('102', '102', '102'), 1506)
(('45', '45', '45'), 1496)
(('195', '5', '195'), 1462)
(('240', '240', '196'), 1307)
(('192', '3', '3'), 1289)
(('192', '192', '192'), 1245)
(('6', '91', '195'), 1187)
(('168', '3', '3'), 1175)
(('195', '5', '5'), 1127)
(('240', '196', '78'), 1094)
(('265', '265', '265'), 1054)
(('91', '195', '5'), 1050)
(('6', '91', '5'), 1043)
(('33', '33', '33'), 1032)
(('168', '102', '102'), 1005)
(('196', '78', '265'), 991)
(('91', '5', '197'), 984)
(('195', '5', '197'), 963)
(('54', '54', '54'), 890)
(('3', '3', '4'), 887)
(('197', '192', '6'), 885)
(('102', '168', '102'), 877)
(('168', '146', '168'), 868)
(('195', '195', '5'), 855)
(('196', '196', '196'), 832)
(('3', '6', '195'), 815)
(('4', '3', '3'), 800)
(('168', '102', '168'), 781)
(('6', '195', '195'), 778)
(('3', '265', '168'), 768)
(('6', '195', '5'), 745)
(('192', '3', '6'), 736)
(('240', '240', '78'), 721)
(('3', '3', '168'), 698)
(('3', '6', '5'), 691)
(('102', '102', '168'), 647)
(('146', '168', '3'), 631)
(('168', '168', '168'), 623)
(('6', '5', '197'), 621)
(('6', '3', '6'), 605)
(('5', '197', '3'), 587)
(('168', '168', '102'), 572)
(('195', '5', '3'), 572)
(('197', '3', '6'), 567)
(('195', '195', '3'), 566)
(('3', '3', '45'), 558)
(('5', '3', '6'), 557)
(('45', '3', '3'), 551)
(('5', '5', '195'), 549)
(('265', '168', '265'), 549)
(('3', '45', '3'), 539)
(('3', '3', '265'), 534)
(('5', '5', '197'), 532)
(('3', '6', '3'), 526)
(('102', '168', '168'), 514)
(('5', '3', '3'), 507)
(('125', '125', '91'), 505)
(('3', '168', '146'), 466)
(('33', '5', '197'), 460)
(('265', '168', '3'), 453)
(('1', '1', '1'), 440)
(('3', '168', '3'), 423)
(('33', '192', '33'), 405)
(('6', '3', '3'), 404)
(('192', '33', '5'), 403)
(('240', '78', '240'), 402)
(('5', '197', '5'), 401)
(('168', '3', '168'), 400)
(('11', '45', '33'), 396)
(('240', '78', '265'), 392)
(('195', '5', '221'), 389)
(('192', '6', '192'), 379)
(('240', '265', '240'), 379)
(('45', '33', '192'), 376)
(('102', '102', '6'), 376)
(('140', '3', '140'), 376)
(('140', '140', '6'), 369)
(('78', '168', '102'), 367)
(('197', '5', '197'), 367)
(('3', '140', '3'), 364)
(('6', '91', '6'), 359)
(('78', '78', '265'), 358)
(('240', '240', '265'), 357)
(('195', '3', '3'), 355)
(('6', '5', '3'), 353)
(('221', '197', '192'), 352)
(('197', '3', '3'), 351)
(('3', '140', '140'), 349)
(('243', '125', '125'), 349)
(('192', '243', '125'), 348)
(('4', '142', '3'), 342)
