(('3', '3', '3', '3', '3', '3', '3'), 18000)
(('4', '4', '4', '4', '4', '4', '4'), 13908)
(('180', '180', '180', '180', '180', '180', '180'), 4503)
(('78', '78', '78', '78', '78', '78', '78'), 3598)
(('6', '6', '6', '6', '6', '6', '6'), 3291)
(('221', '221', '221', '221', '221', '221', '221'), 3044)
(('240', '240', '240', '240', '240', '240', '240'), 3016)
(('195', '195', '195', '195', '195', '195', '195'), 2727)
(('192', '6', '33', '5', '3', '197', '192'), 2577)
(('174', '174', '174', '174', '174', '174', '174'), 2428)
(('6', '33', '5', '3', '197', '192', '192'), 2416)
(('192', '192', '6', '33', '5', '3', '197'), 1941)
(('33', '5', '3', '197', '192', '192', '6'), 1370)
(('5', '3', '197', '192', '192', '6', '33'), 1229)
(('3', '197', '192', '192', '6', '33', '5'), 1227)
(('197', '192', '192', '6', '33', '5', '3'), 1223)
(('5', '195', '5', '195', '5', '195', '5'), 1132)
(('195', '5', '195', '5', '195', '5', '195'), 1112)
(('33', '5', '3', '197', '192', '192', '192'), 1019)
(('125', '125', '125', '125', '125', '125', '125'), 1009)
(('4', '4', '3', '4', '4', '4', '4'), 915)
(('4', '4', '4', '3', '4', '4', '4'), 910)
(('5', '3', '197', '192', '192', '192', '6'), 910)
(('4', '4', '4', '4', '3', '4', '4'), 904)
(('5', '197', '192', '3', '3', '6', '91'), 893)
(('240', '240', '196', '78', '265', '240', '240'), 863)
(('4', '3', '4', '4', '4', '4', '4'), 846)
(('4', '4', '4', '4', '4', '3', '4'), 834)
(('3', '4', '4', '4', '4', '4', '4'), 788)
(('240', '196', '78', '265', '240', '240', '240'), 781)
(('240', '240', '240', '196', '78', '265', '240'), 770)
(('4', '4', '4', '4', '4', '4', '3'), 765)
(('265', '240', '240', '240', '196', '78', '265'), 730)
(('78', '265', '240', '240', '240', '196', '78'), 725)
(('196', '78', '265', '240', '240', '240', '196'), 723)
(('45', '45', '45', '45', '45', '45', '45'), 690)
(('192', '192', '192', '6', '33', '5', '3'), 672)
(('4', '3', '4', '3', '4', '3', '4'), 665)
(('102', '102', '102', '102', '102', '102', '102'), 640)
(('3', '6', '91', '5', '197', '192', '3'), 636)
(('3', '197', '192', '192', '192', '6', '33'), 595)
(('197', '192', '192', '192', '6', '33', '5'), 595)
(('3', '4', '3', '4', '3', '4', '3'), 582)
(('175', '175', '175', '175', '175', '175', '175'), 578)
(('197', '192', '3', '3', '6', '91', '195'), 563)
(('265', '265', '265', '265', '265', '265', '265'), 547)
(('6', '91', '195', '5', '197', '192', '3'), 537)
(('5', '197', '192', '3', '6', '91', '5'), 527)
(('192', '3', '6', '91', '5', '197', '192'), 521)
(('197', '192', '3', '6', '91', '5', '197'), 521)
(('6', '91', '5', '197', '192', '3', '3'), 518)
(('5', '197', '192', '6', '33', '5', '3'), 517)
(('197', '192', '6', '33', '5', '3', '197'), 516)
(('3', '6', '91', '195', '5', '197', '192'), 511)
(('195', '5', '197', '192', '3', '6', '91'), 485)
(('91', '195', '5', '197', '192', '3', '6'), 475)
(('91', '5', '197', '192', '3', '3', '6'), 465)
(('192', '3', '3', '6', '91', '195', '5'), 451)
(('3', '3', '6', '91', '195', '5', '197'), 450)
(('33', '192', '33', '5', '197', '192', '6'), 380)
(('192', '33', '5', '197', '192', '6', '33'), 378)
(('33', '5', '197', '192', '6', '33', '5'), 376)
(('11', '45', '33', '192', '33', '5', '197'), 358)
(('45', '33', '192', '33', '5', '197', '192'), 358)
(('1', '1', '1', '1', '1', '1', '1'), 335)
(('195', '5', '5', '5', '5', '195', '5'), 334)
(('33', '33', '33', '33', '33', '33', '33'), 333)
(('195', '5', '5', '5', '197', '5', '197'), 332)
(('5', '5', '5', '197', '5', '197', '192'), 331)
(('5', '5', '197', '5', '197', '192', '3'), 328)
(('5', '197', '5', '197', '192', '3', '197'), 325)
(('5', '5', '5', '5', '195', '5', '5'), 320)
(('5', '5', '5', '195', '5', '5', '5'), 316)
(('196', '196', '196', '196', '196', '196', '196'), 297)
(('197', '5', '197', '192', '3', '197', '3'), 296)
(('3', '3', '3', '3', '3', '3', '45'), 293)
(('3', '3', '168', '146', '168', '3', '3'), 292)
(('5', '5', '5', '5', '5', '5', '5'), 285)
(('142', '4', '142', '3', '3', '142', '4'), 283)
(('142', '3', '3', '142', '4', '142', '3'), 282)
(('3', '3', '142', '4', '142', '3', '3'), 282)
(('4', '142', '3', '3', '142', '4', '142'), 277)
(('3', '142', '4', '142', '3', '3', '142'), 276)
(('45', '3', '3', '3', '3', '3', '3'), 272)
(('6', '5', '197', '3', '6', '5', '197'), 265)
(('3', '3', '3', '3', '45', '3', '3'), 262)
(('3', '3', '3', '45', '3', '3', '3'), 254)
(('5', '197', '3', '6', '5', '197', '3'), 252)
(('3', '168', '146', '168', '3', '3', '3'), 252)
(('3', '197', '192', '192', '192', '6', '192'), 247)
(('3', '3', '3', '3', '3', '45', '3'), 245)
(('42', '221', '221', '221', '221', '221', '221'), 244)
(('197', '3', '6', '5', '197', '3', '6'), 243)
(('168', '42', '221', '221', '221', '221', '221'), 241)
(('3', '3', '3', '3', '3', '3', '6'), 238)
(('3', '6', '5', '197', '3', '6', '5'), 237)
(('3', '3', '45', '3', '3', '3', '3'), 236)
(('4', '3', '4', '4', '3', '4', '4'), 233)
(('168', '146', '168', '3', '3', '3', '168'), 232)
(('4', '4', '3', '4', '4', '3', '4'), 231)
(('4', '3', '4', '4', '4', '3', '4'), 230)
(('3', '45', '3', '3', '3', '3', '3'), 227)
(('146', '168', '3', '3', '3', '168', '146'), 225)
(('252', '252', '252', '252', '252', '252', '252'), 222)
(('197', '192', '3', '3', '6', '91', '5'), 219)
(('4', '3', '4', '4', '4', '4', '3'), 218)
(('192', '243', '125', '125', '125', '125', '125'), 213)
(('5', '197', '192', '3', '197', '3', '3'), 212)
(('168', '3', '3', '3', '168', '146', '168'), 211)
(('3', '4', '4', '4', '4', '3', '4'), 210)
(('5', '5', '195', '5', '5', '5', '5'), 205)
(('309', '3', '54', '54', '54', '54', '54'), 202)
(('221', '221', '221', '221', '221', '221', '168'), 201)
(('192', '192', '6', '192', '243', '125', '125'), 200)
(('3', '54', '54', '54', '54', '54', '309'), 200)
(('3', '3', '3', '168', '146', '168', '3'), 200)
(('192', '6', '192', '243', '125', '125', '125'), 200)
(('3', '4', '4', '4', '3', '4', '4'), 199)
(('168', '102', '168', '102', '6', '6', '168'), 198)
(('102', '102', '168', '168', '102', '102', '168'), 197)
(('125', '125', '125', '125', '125', '125', '91'), 197)
(('5', '195', '5', '5', '5', '5', '195'), 196)
(('54', '54', '54', '54', '54', '309', '3'), 194)
(('168', '102', '102', '168', '168', '102', '102'), 194)
(('4', '4', '4', '3', '4', '4', '3'), 193)
(('54', '54', '54', '54', '309', '3', '54'), 193)
(('54', '309', '3', '54', '54', '54', '54'), 192)
(('54', '54', '54', '309', '3', '54', '54'), 191)
(('54', '54', '309', '3', '54', '54', '54'), 191)
(('3', '3', '6', '91', '5', '197', '192'), 191)
(('195', '195', '195', '195', '195', '195', '5'), 190)
(('6', '195', '195', '195', '195', '195', '195'), 190)
(('3', '4', '4', '3', '4', '4', '4'), 187)
(('4', '4', '3', '4', '4', '4', '3'), 186)
(('192', '192', '192', '6', '192', '243', '125'), 186)
(('243', '125', '125', '125', '125', '125', '125'), 185)
(('4', '4', '3', '4', '3', '4', '4'), 185)
(('4', '168', '42', '221', '221', '221', '221'), 180)
(('4', '4', '4', '3', '4', '3', '4'), 180)
(('3', '3', '3', '3', '3', '6', '91'), 177)
(('3', '4', '4', '7', '308', '3', '4'), 176)
(('168', '4', '168', '42', '221', '221', '221'), 175)
(('4', '3', '4', '3', '4', '4', '4'), 175)
(('6', '6', '168', '4', '168', '42', '221'), 174)
(('6', '168', '4', '168', '42', '221', '221'), 173)
(('102', '6', '6', '168', '4', '168', '42'), 173)
(('4', '4', '7', '308', '3', '4', '4'), 173)
(('91', '195', '5', '221', '197', '192', '6'), 173)
(('4', '7', '308', '3', '4', '4', '7'), 169)
(('3', '4', '4', '4', '4', '4', '3'), 169)
(('7', '308', '3', '4', '4', '7', '308'), 168)
(('197', '192', '3', '3', '3', '3', '3'), 166)
(('192', '3', '3', '3', '3', '3', '3'), 166)
(('192', '3', '3', '6', '91', '5', '197'), 164)
(('3', '197', '3', '3', '3', '6', '91'), 163)
(('308', '3', '4', '4', '7', '308', '3'), 163)
(('197', '192', '3', '197', '3', '3', '3'), 162)
(('102', '168', '102', '6', '6', '168', '4'), 161)
(('192', '3', '197', '3', '3', '3', '6'), 161)
(('258', '311', '240', '240', '174', '174', '175'), 156)
(('311', '240', '240', '174', '174', '175', '191'), 156)
(('240', '240', '174', '174', '175', '191', '122'), 156)
(('4', '3', '4', '3', '4', '4', '3'), 155)
(('3', '4', '4', '3', '4', '3', '4'), 155)
(('3', '6', '91', '195', '5', '5', '5'), 154)
(('6', '33', '5', '3', '197', '192', '125'), 154)
(('102', '168', '168', '102', '102', '168', '168'), 153)
(('197', '192', '192', '192', '6', '192', '243'), 153)
(('3', '3', '6', '33', '195', '5', '3'), 152)
(('3', '4', '3', '4', '4', '3', '4'), 152)
(('33', '5', '3', '197', '192', '125', '192'), 152)
(('140', '4', '140', '4', '140', '4', '140'), 151)
(('5', '3', '197', '192', '192', '6', '125'), 151)
(('125', '91', '258', '311', '240', '240', '174'), 151)
(('3', '6', '33', '195', '5', '3', '3'), 151)
(('91', '258', '311', '240', '240', '174', '174'), 151)
(('125', '125', '125', '125', '125', '91', '258'), 150)
(('168', '102', '6', '6', '168', '4', '168'), 150)
(('125', '125', '125', '125', '91', '258', '311'), 150)
(('125', '125', '91', '258', '311', '240', '240'), 150)
(('4', '3', '4', '4', '3', '4', '3'), 150)
(('33', '195', '5', '3', '3', '6', '33'), 150)
(('125', '125', '125', '91', '258', '311', '240'), 150)
